"circuitRef","name","location","country","countryFlag","countryCode","lat","lng","alt","url","races","totalDrivers","winningDrivers","podiumDrivers","mostWinsDriver","mostWinsDriverWins","totalConstructors","winningConstructors","podiumConstructors","mostWinsConstructor","mostWinsCondtructorWins"
"hockenheimring","Hockenheimring","Hockenheim","Germany","🇩🇪","de","49.32780075073242","8.56583023071289","","http://en.wikipedia.org/wiki/Hockenheimring","37","257","22","51","michael_schumacher","4","76","9","16","ferrari",""
"hungaroring","Hungaroring","Budapest","Hungary","🇭🇺","hu","47.57889938354492","19.248600006103516","","http://en.wikipedia.org/wiki/Hungaroring","34","183","17","34","hamilton","6","56","8","14","mclaren",""
"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA","🇺🇸","us","39.79499816894531","-86.23470306396484","","http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway","19","161","14","37","michael_schumacher","5","53","6","13","ferrari",""
"istanbul","Istanbul Park","Istanbul","Turkey","🇹🇷","tr","40.951698303222656","29.405000686645508","","http://en.wikipedia.org/wiki/Istanbul_Park","7","48","5","9","massa","3","22","4","5","ferrari",""
"jarama","Jarama","Madrid","Spain","🇪🇸","es","40.61709976196289","-3.5855801105499268","","http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama","9","102","8","19","mario_andretti","2","42","6","9","team_lotus",""
"yeongam","Korean International Circuit","Yeongam County","Korea","🇰🇷","kr","34.733299255371094","126.41699981689453","","http://en.wikipedia.org/wiki/Korean_International_Circuit","4","40","2","7","vettel","3","15","2","4","red_bull",""
"kyalami","Kyalami","Midrand","South Africa","🇿🇦","za","-25.98940086364746","28.07670021057129","","http://en.wikipedia.org/wiki/Kyalami","20","165","15","37","lauda","3","61","10","19","ferrari",""
"las_vegas","Las Vegas Street Circuit","Nevada","USA","🇺🇸","us","36.1161994934082","-115.17400360107422","","http://en.wikipedia.org/wiki/Las_Vegas,_Nevada","2","38","2","6","alboreto","1","17","2","6","tyrrell",""
"lemans","Le Mans","Le Mans","France","🇫🇷","fr","47.95000076293945","0.22423100471496582","","http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit","1","15","1","3","jack_brabham","1","7","1","2","brabham-repco",""
"long_beach","Long Beach","California","USA","🇺🇸","us","33.765098571777344","-118.18900299072266","","http://en.wikipedia.org/wiki/Long_Beach,_California","8","76","8","14","regazzoni","1","26","5","9","ferrari",""
"marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore","🇸🇬","sg","1.2913999557495117","103.86399841308594","","http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit","12","62","4","11","hamilton","4","21","5","8","mercedes",""
"monsanto","Monsanto Park Circuit","Lisbon","Portugal","🇵🇹","pt","38.71969985961914","-9.203060150146484","","http://en.wikipedia.org/wiki/Monsanto_Park_Circuit","1","16","1","3","moss","1","6","1","2","cooper-climax",""
"montjuic","Montjuïc","Barcelona","Spain","🇪🇸","es","41.36640167236328","2.151669979095459","","http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit","4","52","3","10","stewart","2","24","4","9","mclaren",""
"mosport","Mosport International Raceway","Ontario","Canada","🇨🇦","ca","44.048099517822266","-78.67559814453125","","http://en.wikipedia.org/wiki/Mosport","8","90","7","17","stewart","2","34","5","11","mclaren",""
"nivelles","Nivelles-Baulers","Brussels","Belgium","🇧🇪","be","50.62110137939453","4.326940059661865","","http://en.wikipedia.org/wiki/Nivelles-Baulers","2","44","1","5","emerson_fittipaldi","2","17","2","4","mclaren",""
"nurburgring","Nürburgring","Nürburg","Germany","🇩🇪","de","50.335601806640625","6.947500228881836","","http://en.wikipedia.org/wiki/N%C3%BCrburgring","40","346","27","59","michael_schumacher","5","104","17","30","ferrari",""
"okayama","Okayama International Circuit","Okayama","Japan","🇯🇵","jp","34.915000915527344","134.2209930419922","","http://en.wikipedia.org/wiki/TI_Circuit","2","39","1","5","michael_schumacher","2","15","1","4","benetton",""
